feature,p-value,NC-mean,AD-mean,NC-std,AD-std,
wavelet-LLL_gldm_DependenceEntropy,0.00000038771215606119 ,3.72944377277777000000 ,3.86784501121052000000 ,0.09388273608245720000 ,0.13346710683629900000 ,
wavelet-LLL_gldm_DependenceNonUniformity,0.00000000204393374850 ,726.11713634888900000000 ,489.96371930947300000000 ,148.14750129680800000000 ,170.62430556924700000000 ,
wavelet-LLL_gldm_DependenceNonUniformityNormalized,0.00000044211769942730 ,0.11499413495555500000 ,0.09578330339473680000 ,0.01483020740950980000 ,0.01702765515060520000 ,
wavelet-LLL_gldm_GrayLevelNonUniformity,0.00000000185799818801 ,6262.95555555555000000000 ,4967.65789473684000000000 ,580.71883180775300000000 ,1117.78609074622000000000 ,
wavelet-LLL_gldm_LargeDependenceEmphasis,0.00000117020939590870 ,493.98864449999900000000 ,472.29671143421000000000 ,13.15221658186950000000 ,23.71881313058030000000 ,
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.00000117020939590870 ,493.98864449999900000000 ,472.29671143421000000000 ,13.15221658186950000000 ,23.71881313058030000000 ,
wavelet-LLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.00000117020939590870 ,493.98864449999900000000 ,472.29671143421000000000 ,13.15221658186950000000 ,23.71881313058030000000 ,
wavelet-LLL_gldm_SmallDependenceEmphasis,0.00001994724649372180 ,0.00271876902222222000 ,0.00292197215789473000 ,0.00010424319224261700 ,0.00027884613182711900 ,
wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.00001994724649372180 ,0.00271876902222222000 ,0.00292197215789473000 ,0.00010424319224261700 ,0.00027884613182711900 ,
wavelet-LLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.00001994724649372180 ,0.00271876902222222000 ,0.00292197215789473000 ,0.00010424319224261700 ,0.00027884613182711900 ,
wavelet-LLL_glrlm_GrayLevelNonUniformity,0.00000010258480570270 ,1288.01880346666000000000 ,1105.24493921052000000000 ,86.25951801818360000000 ,187.80783722601600000000 ,
wavelet-LLL_glrlm_LongRunEmphasis,0.00000000575102907431 ,41.34872256444440000000 ,33.57712005210520000000 ,4.79367377284257000000 ,6.07241993940674000000 ,
wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.00000000575102907431 ,41.34872256444440000000 ,33.57712005210520000000 ,4.79367377284257000000 ,6.07241993940674000000 ,
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.00000000575102907431 ,41.34872256444440000000 ,33.57712005210520000000 ,4.79367377284257000000 ,6.07241993940674000000 ,
wavelet-LLL_glrlm_RunEntropy,0.00000001562819011618 ,3.37121508706666000000 ,3.20964515231579000000 ,0.07543660929960220000 ,0.15182053714181700000 ,
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.00000004739767731592 ,0.11358182680000000000 ,0.12819567392105200000 ,0.00674760553739647000 ,0.01453077991395220000 ,
wavelet-LLL_glrlm_RunPercentage,0.00000130362153115654 ,0.20642000388888800000 ,0.22693250755263100000 ,0.01203562826610190000 ,0.02284257708381270000 ,
wavelet-LLL_glrlm_RunVariance,0.00000000231611756435 ,10.83873607668880000000 ,8.71643131302631000000 ,1.34498700958933000000 ,1.53159303378802000000 ,
wavelet-LLL_glszm_LargeAreaEmphasis,0.00000000015638286445 ,9907357.12222222000000000000 ,6324908.85307894000000000000 ,1840032.42594967000000000000 ,2599065.07258574000000000000 ,
wavelet-LLL_glszm_LargeAreaHighGrayLevelEmphasis,0.00000000015638286445 ,9907357.12222222000000000000 ,6324908.85307894000000000000 ,1840032.42594967000000000000 ,2599065.07258574000000000000 ,
wavelet-LLL_glszm_LargeAreaLowGrayLevelEmphasis,0.00000000015638286445 ,9907357.12222222000000000000 ,6324908.85307894000000000000 ,1840032.42594967000000000000 ,2599065.07258574000000000000 ,
squareroot_firstorder_Energy,0.00000407989478705458 ,60636.55172666660000000000 ,44106.32875052630000000000 ,15942.64088795380000000000 ,14216.48260299160000000000 ,
squareroot_firstorder_TotalEnergy,0.00000407989478705458 ,60636.55172666660000000000 ,44106.32875052630000000000 ,15942.64088795380000000000 ,14216.48260299160000000000 ,
squareroot_gldm_DependenceEntropy,0.00000043296339639698 ,3.72998195762222000000 ,3.86784501121052000000 ,0.09412402211942070000 ,0.13346710683629900000 ,
